sigmas,logAmax,tau
0.0,610.1453664124728,659.1283692782038
0.15151515151515152,510.2779953083008,659.1283692782038
0.30303030303030304,410.41063275966764,659.1283692782038
0.4545454545454546,310.54327872847045,659.1283692782038
0.6060606060606061,210.67593317161078,659.1283692782038
0.7575757575757576,110.80859604109344,659.1283692782038
0.9090909090909092,11.954747388781982,628.7079647972305
1.0606060606060606,7.720665603707821,1.0668620844877437
1.2121212121212122,7.559301951435628,1.0668620844877437
1.3636363636363638,7.397938291411775,1.0668620844877437
1.5151515151515151,7.240108437073068,1.0419521133186556
1.6666666666666667,7.08253264434592,1.0419521133186556
1.8181818181818183,6.924956845155975,1.0419521133186556
1.9696969696969697,6.767381039559259,1.0419521133186556
2.121212121212121,6.611061658716644,1.0176237605917888
2.272727272727273,6.457273733557668,1.0176237605917888
2.4242424242424243,6.303485803368676,1.0176237605917888
2.5757575757575757,6.149697868198855,1.0176237605917888
2.7272727272727275,5.996267258617445,0.9938634462026138
2.878787878787879,5.846267207345227,0.9938634462026138
3.0303030303030303,5.696267152190558,0.9938634462026138
3.181818181818182,5.546267093215138,0.9938634462026138
3.3333333333333335,5.397622089994257,0.9706579071260191
3.484848484848485,5.250652337495703,0.9706579071260191
3.6363636363636367,5.103682581890608,0.9706579071260191
3.787878787878788,4.956803869183641,0.9479941900128873
3.9393939393939394,4.813622001275653,0.9479941900128873
4.090909090909091,4.670440131019568,0.9479941900128873
4.242424242424242,4.5272582584753405,0.9479941900128873
4.3939393939393945,4.3858381169394125,0.9258596439595221
4.545454545454546,4.24568655357114,0.9258596439595221
4.696969696969697,4.105534988420549,0.9258596439595221
4.848484848484849,3.9670183939347043,0.9042419134459031
5.0,3.830654717751313,0.9042419134459031
5.151515151515151,3.6942910402698907,0.9042419134459031
5.303030303030303,3.55907523285714,0.8831289314388298
5.454545454545455,3.4257418690202757,0.8831289314388298
5.606060606060606,3.292408504295163,0.8831289314388298
5.757575757575758,3.1616149075864817,0.8625089126560913
5.909090909090909,3.0313118513999506,0.8625089126560913
6.0606060606060606,2.902159112310037,0.842370346987915
6.212121212121212,2.7748863640404307,0.842370346987915
6.363636363636364,2.6478625357092826,0.8227019930720114
6.515151515151516,2.5236200946837197,0.8227019930720114
6.666666666666667,2.399456907872809,0.8034928720186418
6.818181818181818,2.27824477542541,0.8034928720186418
6.96969696969697,2.157561828579055,0.7847322612821929
7.121212121212121,2.0393800016492607,0.7847322612821929
7.272727272727273,1.9222875232389198,0.7664096886758389
7.424242424242425,1.806655828161165,0.7485149265259667
7.575757575757576,1.6937770355492832,0.7485149265259667
7.7272727272727275,1.582544883049559,0.7310379859630769
7.878787878787879,1.472990722132381,0.713969111345987
8.030303030303031,1.3660582332569176,0.6972987748162306
8.181818181818182,1.2610494138160722,0.6810176709795966
8.333333333333334,1.158798044566065,0.6651167117118523
8.484848484848484,1.0586003905162216,0.6495870210857427
8.636363636363637,0.9615949468128383,0.6344199304164468
8.787878787878789,0.8669950907304883,0.6196069734227078
8.93939393939394,0.7756019029626623,0.5910105791097274
9.090909090909092,0.6873431675252505,0.5772111792619791
9.242424242424242,0.6023792803566903,0.5505714557081012
9.393939393939394,0.5211082570627332,0.525161221284934
9.545454545454545,0.44371678176103163,0.500923732028168
9.696969696969697,0.37038641586434096,0.4778048628477944
9.84848484848485,0.3015986011107452,0.4451116920424512
10.0,0.2377683276613243,0.4146555085522578
10.151515151515152,0.1793759890529327,0.368455322088912
10.303030303030303,0.12688003137009218,0.32740267903262293
10.454545454545455,0.08115123937139287,0.28413131579803574
10.606060606060606,0.043182037805672736,0.22434370717546467
10.757575757575758,0.014602882624603809,0.1501360668610123
10.90909090909091,-2.5712107308208943e-05,0.005
11.06060606060606,-0.0007832878734916449,0.005
11.212121212121213,-0.0015408636396750809,0.005
11.363636363636363,-0.002298439408186823,0.005
11.515151515151516,-0.0030560151766985655,0.005
11.666666666666668,-0.003813590945210308,0.005
11.818181818181818,-0.00457116671372205,0.005
11.96969696969697,-0.005328742482233793,0.005
12.121212121212121,-0.006086318253073842,0.005
12.272727272727273,-0.006843894021585584,0.005
12.424242424242424,-0.0076014697924256325,0.005
12.575757575757576,-0.008359045565593987,0.005
12.727272727272728,-0.009116621336434037,0.005
12.878787878787879,-0.009874197109602393,0.005
13.030303030303031,-0.010631772882770747,0.005
13.181818181818182,-0.011389348655939102,0.005
13.333333333333334,-0.012146924429107458,0.005
13.484848484848484,-0.01290450020460412,0.005
13.636363636363637,-0.013662075977772475,0.005
13.787878787878789,-0.014419651753269137,0.005
13.93939393939394,-0.015177227528765798,0.005
14.090909090909092,-0.015934803306590768,0.005
14.242424242424242,-0.016692379082087427,0.005
14.393939393939394,-0.017449954859912395,0.005
14.545454545454547,-0.018207530635409058,0.005
14.696969696969697,-0.018965106413234026,0.005
14.84848484848485,-0.019722682191058993,0.005
15.0,-0.02048025796888396,0.005
