sigma,K,masSE,masSEstd
0.1,0.05,17.162708037077934,0.3729947849393119
0.4820512820512821,0.24102564102564106,16.428639597060503,0.9602427146154416
0.8641025641025641,0.43205128205128207,8.772014473507522,2.328646096656367
1.2461538461538464,0.6230769230769232,5.716986679521755,4.842927275669114
1.6282051282051284,0.8141025641025642,4.52865764345082,4.222717140177108
2.01025641025641,1.005128205128205,3.4289595670514097,3.4890974998296067
2.3923076923076927,1.1961538461538463,3.2308091900348264,3.6554221500057427
2.7743589743589747,1.3871794871794874,2.4658092814706785,2.746200654547852
3.1564102564102567,1.5782051282051284,1.6994511921896434,2.2408214778181144
3.5384615384615388,1.7692307692307694,1.195090814832337,1.5720468889464592
3.920512820512821,1.9602564102564104,1.483796419824936,2.1545802354523427
4.302564102564102,2.151282051282051,0.5631294314980371,0.9551685702916836
4.684615384615385,2.3423076923076924,0.342232000573742,0.4390720141599771
5.066666666666666,2.533333333333333,0.25412772261098504,0.39299507082491825
5.448717948717949,2.7243589743589745,0.15584023870407784,0.15736557701208748
5.8307692307692305,2.9153846153846152,0.1266273874852951,0.22118768498830177
6.212820512820513,3.1064102564102565,0.06499411636435268,0.04601123611321438
6.594871794871795,3.2974358974358977,0.04691287411658811,0.03357989574212735
6.976923076923077,3.4884615384615385,0.03302934102583608,0.020317167636587755
7.3589743589743595,3.6794871794871797,0.022252233187288424,0.008516335338292309
7.741025641025641,3.8705128205128205,0.01756944895602138,0.0058474211390134485
8.123076923076923,4.061538461538461,0.014032857001450875,0.0031325065134993157
8.505128205128205,4.2525641025641026,0.011584399260279772,0.0019343824442999335
8.887179487179488,4.443589743589744,0.010190299025613813,0.000787417567663421
9.26923076923077,4.634615384615385,0.00916921876280583,0.0004795613828848943
9.651282051282053,4.825641025641026,0.008413666618740977,0.00026272314682333493
10.033333333333333,5.016666666666667,0.00787289469457734,0.00015430743052121645
10.415384615384616,5.207692307692308,0.007461043246886217,0.00011543632509421024
10.797435897435898,5.398717948717949,0.007134887897842768,8.634901643677529e-05
11.17948717948718,5.58974358974359,0.006852149504095426,7.583931627385039e-05
11.561538461538461,5.780769230769231,0.006594894027383548,6.551276221941141e-05
11.943589743589744,5.971794871794872,0.006387202575342443,6.263279605339554e-05
12.325641025641026,6.162820512820513,0.0061929192149128235,5.546428520659274e-05
12.707692307692309,6.353846153846154,0.00602026712559083,5.580661622045757e-05
13.089743589743591,6.544871794871796,0.005853308063237589,5.5301087456843835e-05
13.471794871794872,6.735897435897436,0.005700472881130558,5.3981499999711594e-05
13.853846153846154,6.926923076923077,0.005553010893150386,5.2517574865555426e-05
14.235897435897437,7.117948717948718,0.005411914140160534,5.1324049346858046e-05
14.61794871794872,7.30897435897436,0.005280069757606345,5.2021878355617185e-05
15.0,7.5,0.005158325139104761,5.122383583098926e-05
